Topic,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39,Divergence,DivergenceTNo,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39,Self Diff,Average,FinalScoreAbsoluteDifferences,Max Similarity,EntropyChange
"CTP1-T20: cryptographi, base, classic",0.294675495,0.300345649,0.245431284,0.187232474,0.239884106,0.320653749,0.129784052,0.289050712,0.275349253,0.265746149,0.289949987,0.333096935,0.295559592,0.334522646,0.30968213,0.03792293,0.344089227,0.185279747,0.343248769,0.156517465,0.388360788,0.121139514,0,0.145955786,0.317870853,0.212856239,0.17502076,0.135172773,0.260093579,0.092527928,0.192125036,0,0,0,0.051479246,0,0,0.082462463,0,0.388360788,CTP2-T23,0.674019872,0.471998846,0.160051811,0.110353727,0.193736469,0.280086761,0.347832637,0.126536858,0.219876126,0.328732198,0.1722477,0.485114,0.228979904,0.22002019,0.3664409,0.590462742,0.509354974,0.35457474,0.236700976,2.22045E-16,0.423408508,0.173788343,0.391447726,0.164239131,0.489733606,0.100124645,0.296558665,0.185459401,0.162718568,0.178224136,0.024015969,0.352262076,0.316473582,0.213580072,0.015737267,0.239169406,0.035355856,0.194205318,0.410644282,2.22045E-16,0.274849158,0.274849158,0.388360788,28.57169799
"CTP1-T21: cryptographi, base, develop",0.384693919,0.252748416,0.197018524,0.104421681,0.208897475,0.238501666,0.12783556,0.220389891,0.216459488,0.211739776,0.239462456,0.269520394,0.241232955,0.254234967,0.253329932,0.049507749,0.298254614,0.164879594,0.35577499,0.087291571,0.393678987,0.067560885,0,0.081401202,0.412948941,0.210903844,0.097611069,0.139742683,0.266353738,0.178115481,0.161684226,0.049764891,0.077656356,0.065870608,0.1859432,0.063726622,0.013760751,0.045990254,0.063731493,0.412948941,CTP2-T23,0.38581231,0.072654229,0.454029667,0.418850148,0.312552086,0.381750813,0.670825242,0.521115467,0.182889738,0.396969583,0.491518422,0.451843919,0.343829111,0.462581894,0.146099057,0.315154026,0.237266381,0.197181829,0.154997953,0.423408508,1.11022E-16,0.308183443,0.286272547,0.336367127,0.233960463,0.103774061,0.348560262,0.186767146,0.59508885,0.376550596,0.506528922,0.426013732,0.393771716,0.403120067,0.139750314,0.470187901,0.13220621,0.578134395,0.430844247,1.11022E-16,0.349405589,0.349405589,0.412948941,42.38770986
"CTP1-T22: cryptographi, classic, base",0.247110064,0.298888557,0.247452522,0.204256204,0.236348376,0.329672798,0.122871341,0.295360458,0.279160908,0.268470023,0.290074613,0.335121771,0.296652538,0.342103577,0.310634851,0.031801551,0.339485789,0.181356603,0.333870118,0.170748496,0.37878655,0.132153876,0,0.159226518,0.474108236,0.201099286,0.190934165,0.291602644,0.418490941,0.205978786,0.331735764,0.111460763,0.173930586,0.147533493,0.309112519,0.142731506,0.030820599,0.089960194,0.142742416,0.474108236,CTP2-T23,0.447489881,0.372346601,0.337986267,0.04313748,0.354191151,0.350857217,0.725043368,0.442729498,0.250023321,0.474988201,0.576023288,0.378393056,0.408301396,0.494289442,0.054139917,0.298493028,0.259918677,0.335218496,0.489492027,0.173788343,0.308183443,0,0.063173151,0.014326889,0.315021054,0.080283425,0.040145322,0.078938593,0.430613709,0.441126931,0.327374566,0.144584828,0.217620737,0.218845619,0.482659083,0.211007921,0.096821354,0.144069927,0.312426195,0,0.294580879,0.294580879,0.474108236,19.29131115
"CTP1-T23: cryptographi, channel, classic",0.275557676,0.330694878,0.273635489,0.22515602,0.261610068,0.364261938,0.136239714,0.326431723,0.308627878,0.296852215,0.320871592,0.37061409,0.328103086,0.378079463,0.343576676,0.035462584,0.375749096,0.200796746,0.298207241,0.188219751,0.34788606,0.145676069,0,0.175518826,0.340877713,0.222999406,0.210470849,0.225672983,0.360634601,0.142747594,0.284527755,0.048810627,0.07616726,0.064607509,0.164600453,0.062504635,0.013496882,0.099165062,0.062509412,0.378079463,CTP2-T23,0.610295701,0.611069318,0.559292051,0.193090067,0.415977155,0.432112708,0.607662867,0.410037646,0.463113259,0.552349929,0.501855097,0.588509658,0.529597596,0.504233898,0.242630346,0.561711305,0.480915505,0.317262543,0.379444513,0.391447726,0.286272547,0.063173151,2.22045E-16,0.043607081,0.379912953,0.072449784,0.089498513,0.019831736,0.350989769,0.416259248,0.199252886,0.137003036,0.198170075,0.162074761,0.213560776,0.213783007,0.136854708,0.130505251,0.253638612,2.22045E-16,0.334722284,0.334722284,0.378079463,25.44893132
"CTP1-T24: cryptographi, base, channel",0.26120373,0.23643047,0.191166751,0.136024649,0.190338606,0.24571562,0.106146957,0.222651954,0.21349143,0.206650779,0.227276669,0.25990488,0.231061639,0.257501853,0.242224269,0.033615319,0.272724567,0.147767732,0.271432621,0.113710153,0.306928978,0.088008023,0,0.106037079,0.420448773,0.174355385,0.127152822,0.24378905,0.354529523,0.211692405,0.262946817,0.112579149,0.175675788,0.149013829,0.314243101,0.14416366,0.03112985,0.059909092,0.144174679,0.420448773,CTP2-T23,0.652346474,0.545217466,0.414143932,0.152408514,0.412741552,0.369903834,0.751605804,0.432276492,0.400380124,0.546276712,0.540182877,0.495940672,0.421609701,0.539056289,0.163392233,0.582038426,0.255256225,0.253003817,0.496079164,0.164239131,0.336367127,0.014326889,0.043607081,1.11022E-16,0.390166286,0.046208334,0.007857893,0.153710617,0.583853008,0.431794295,0.418075388,0.099769306,0.162757065,0.291469917,0.508072771,0.252302139,0.28171734,0.226711082,0.266201818,1.11022E-16,0.344817573,0.344817573,0.420448773,341.3486491
"CTP1-T25: cryptographi, channel, base",0.281027976,0.27919527,0.22765344,0.171286527,0.223356649,0.296445083,0.121612052,0.267508296,0.255166563,0.24641437,0.269295899,0.309079627,0.274357192,0.309548399,0.28749626,0.036166578,0.32031019,0.172697974,0.302213369,0.14318741,0.344140892,0.110822477,0,0.133525233,0.417753416,0.199518104,0.160114842,0.244094945,0.36827105,0.19551457,0.277817062,0.093129928,0.145325965,0.123270138,0.271300956,0.119257886,0.025751844,0.075439418,0.119267001,0.417753416,CTP2-T23,0.319527003,0.434686999,0.364563486,0.250120464,0.343274129,0.338056903,0.654574993,0.365671107,0.396234871,0.31867224,0.364397382,0.378236641,0.311050521,0.362021838,0.106890421,0.411910971,0.099852839,0.108976491,0.369712351,0.489733606,0.233960463,0.315021054,0.379912953,0.390166286,2.22045E-16,0.114918371,0.285292825,0.213493028,0.370839134,0.366473668,0.372867311,0.379974309,0.229833514,0.435313217,0.248913329,0.285121142,0.316701725,0.418071695,0.232743664,2.22045E-16,0.32573113,0.32573113,0.417753416,242.5525051
"CTP1-T26: applic, base, challeng",0.068095659,0.152679316,0.130451793,0.126934379,0.117743504,0.181729354,0.054848514,0.160594724,0.149088107,0.142197577,0.150106459,0.175775748,0.154721051,0.186351952,0.161773186,0.008763494,0.169720156,0.088830447,0.13024974,0.106111119,0.153216455,0.082126613,0,0.098950822,0.114815982,0.089212974,0.11865544,0.091640471,0.144580915,0.021381996,0.130251295,0,0,0,0.011896181,0,0,0.055905481,0,0.186351952,CTP2-T23,0.177456688,0.34979672,0.254933942,0.039273219,0.151810891,0.06869749,0.208318162,0.176497586,0.216177113,0.080541989,0.175311538,0.198184514,0.117015058,0.12943133,0.032976005,0.265209415,0.287482725,0.216555099,0.099420158,0.100124645,0.103774061,0.080283425,0.072449784,0.046208334,0.114918371,2.22045E-16,0.106133608,0.237858331,0.075003014,0.099415795,0.395134218,0.370911995,0.282240259,0.255802263,0.093820027,0.274178522,0.14561153,0.241448427,0.23788158,2.22045E-16,0.173112838,0.173112838,0.186351952,31.59342466
"CTP1-T27: cryptographi, base, classic",0.329702075,0.339546503,0.277703847,0.213004701,0.27101701,0.363292343,0.146255661,0.327351421,0.311670761,0.300729829,0.327907991,0.376843468,0.334323862,0.378869355,0.350284324,0.042430636,0.388781047,0.20923718,0.357423447,0.178061824,0.408418323,0.137814159,0,0.166046348,0.403859067,0.239839766,0.199112066,0.219246994,0.363906339,0.161839107,0.274047455,0.050625272,0.07899895,0.067009439,0.178389078,0.064828385,0.013998659,0.093813279,0.064833341,0.408418323,CTP2-T23,0.563386931,0.505487232,0.500728571,0.209089519,0.441434151,0.388642338,0.621581568,0.34804796,0.376275893,0.567701511,0.574848832,0.492793586,0.542771272,0.479573723,0.174763627,0.461847134,0.261582741,0.373723628,0.486017136,0.296558665,0.348560262,0.040145322,0.089498513,0.007857893,0.285292825,0.106133608,0,0.15839787,0.397949603,0.469673165,0.2372419,0.306855321,0.335558723,0.264565087,0.212543447,0.337408401,0.057289143,0.237788059,0.411394082,0,0.341342348,0.341342348,0.408418323,55.44059261
"CTP1-T28: cryptographi, base, channel",0.216963834,0.179802678,0.144104624,0.096324049,0.145692289,0.182664539,0.083218674,0.166261682,0.160313642,0.155561884,0.172233216,0.196208864,0.174716298,0.192172218,0.183233829,0.027921915,0.20856912,0.113576672,0.191117091,0.080522335,0.218098234,0.062321713,0,0.07508875,0.390084226,0.136854098,0.090041583,0.25418918,0.345153965,0.232594005,0.255309511,0.142785184,0.222811239,0.188995629,0.378585393,0.182844114,0.039482278,0.042423828,0.182858089,0.390084226,CTP2-T23,0.548909582,0.522548731,0.296726599,0.040457858,0.360265584,0.178467997,0.678030512,0.3924042,0.229634604,0.391804306,0.318230579,0.351081884,0.270237242,0.378584711,0.063413213,0.576828358,0.279850771,0.200007476,0.340636494,0.185459401,0.186767146,0.078938593,0.019831736,0.153710617,0.213493028,0.237858331,0.15839787,0,0.319965728,0.214199134,0.245825284,0.106480965,0.175526113,0.007828055,0.472593919,0.013162547,0.456245985,0.208459962,0.041678035,0,0.26090903,0.26090903,0.390084226,68.10980035
"CTP1-T29: base, channel, develop",0.458044337,0.21067149,0.154654221,0.033635832,0.181184479,0.167304981,0.125264924,0.160733344,0.165094574,0.164538756,0.19503715,0.213808895,0.193548186,0.18450141,0.203844845,0.058947498,0.257339814,0.146437206,0.27408444,0.02811796,0.305598612,0.021762402,0,0.026220581,0.391773421,0.207730252,0.031442029,0.136151118,0.262895699,0.243467169,0.129310109,0.086505442,0.134988689,0.114501729,0.286419503,0.110774875,0.023920073,0.014814169,0.110783342,0.458044337,CTP2-T23,0.519554328,0.096915841,0.333444024,0.409040705,0.400972019,0.351705387,0.597326283,0.553466613,0.398263273,0.243461441,0.303221397,0.328991984,0.351396612,0.325535097,0.357812876,0.230475381,0.333956584,0.33084467,0.430835085,0.162718568,0.59508885,0.430613709,0.350989769,0.583853008,0.370839134,0.075003014,0.397949603,0.319965728,2.22045E-16,0.149404733,0.077244166,0.43158562,0.275205584,0.397959422,0.25558711,0.41439627,0.147896799,0.573921851,0.318243755,2.22045E-16,0.348044376,0.348044376,0.458044337,27.37362292
"CTP1-T30: develop, channel, applic",0.706644376,0.489160645,0.383940011,0.216816983,0.402345574,0.470270127,0.242249954,0.432866909,0.42315455,0.413088825,0.464704689,0.524609793,0.46894862,0.499594318,0.492301818,0.0909408,0.574822767,0.316619294,0.410368607,0.181248711,0.483683787,0.140280707,0,0.169018186,0.46913111,0.399371074,0.202675702,0.240771563,0.478525409,0.296919402,0.293866767,0.065141573,0.101651125,0.086223739,0.278875744,0.08341729,0.018012637,0.095492315,0.083423666,0.706644376,CTP2-T23,0.029578732,0.008011573,0.121734975,0.016340555,0.053950333,0.073755094,0.077982622,0.151041959,0.022214078,0.061828899,0.017211883,0.068277884,0.065912206,0.146776185,0.008214757,0.047371051,0.179935313,0.186706853,0.198905392,0.178224136,0.376550596,0.441126931,0.416259248,0.431794295,0.366473668,0.099415795,0.469673165,0.214199134,0.149404733,2.22045E-16,0.317364667,0.223546867,0.276005045,0.227869546,0.203102619,0.345900719,0.258370048,0.084221691,0.23563611,2.22045E-16,0.180286562,0.180286562,0.706644376,-82.79756107
"CTP1-T31: base, channel, develop",0.225096384,0.131481566,0.100751686,0.044613329,0.109954056,0.11834567,0.069902356,0.110473484,0.109817195,0.107976061,0.123741146,0.138235501,0.124123237,0.127272354,0.130454993,0.028968525,0.156742623,0.08740877,0.186475753,0.037294627,0.206180458,0.028864849,0,0.034778014,0.329993329,0.115519356,0.04170355,0.163592494,0.238484802,0.187704862,0.157112216,0.101596965,0.158538478,0.134477414,0.281731973,0.130100382,0.028093109,0.019648969,0.130110327,0.329993329,CTP2-T23,0.680108253,0.106338374,0.24462815,0.196376693,0.274704047,0.26521807,0.551513688,0.499209382,0.223844671,0.290359273,0.373599483,0.32619827,0.269708571,0.428047462,0.248227067,0.156214149,0.475375892,0.337351854,0.32898512,0.024015969,0.506528922,0.327374566,0.199252886,0.418075388,0.372867311,0.395134218,0.2372419,0.245825284,0.077244166,0.317364667,2.22045E-16,0.245641747,0.158171944,0.232279485,0.371262773,0.317583865,0.104742011,0.367883204,0.235032706,2.22045E-16,0.300777144,0.300777144,0.329993329,131.8033988
"CTP1-T32: channel, cryptographi, base",0.228049119,0.316252217,0.264154473,0.22911063,0.248360791,0.356484159,0.125458554,0.318105054,0.299106871,0.286973276,0.308035358,0.357227442,0.315716495,0.368644185,0.330459157,0.029348524,0.357082694,0.189701839,0.420853331,0.191525617,0.468412692,0.148234704,0,0.178601614,0.425627345,0.205014263,0.21416753,0.193419741,0.315984632,0.096558683,0.258835364,0.02166197,0.033802739,0.028672566,0.091524716,0.027739318,0.005989865,0.100906784,0.027741439,0.468412692,CTP2-T23,0.471348754,0.42664012,0.536084124,0.300836793,0.37697518,0.548575855,0.652703271,0.490021017,0.246791904,0.574649167,0.806462858,0.577760627,0.593691278,0.579513445,0.144188679,0.316864374,0.42160437,0.433633348,0.499562306,0.352262076,0.426013732,0.144584828,0.137003036,0.099769306,0.379974309,0.370911995,0.306855321,0.106480965,0.43158562,0.223546867,0.245641747,0,0.054760888,0.076008256,0.315190779,0.104847946,0.405626444,0.051901556,0.039879503,0,0.349230333,0.349230333,0.468412692,1.521023087
"CTP1-T33: channel, cryptographi, base",0.25790725,0.358908949,0.299846924,0.260363959,0.281813838,0.404774106,0.142257871,0.361162409,0.339551596,0.32575923,0.349613708,0.405482143,0.358350346,0.418547512,0.375080127,0.033191082,0.405189383,0.215230102,0.41359239,0.217651917,0.467552534,0.168455625,0,0.202964932,0.409437459,0.232457422,0.243382449,0.212382416,0.350925444,0.102726931,0.28785417,0.018877596,0.029457823,0.024987068,0.090097422,0.024173778,0.005219943,0.114671632,0.024175626,0.467552534,CTP2-T23,0.44818516,0.417726598,0.509745683,0.278334922,0.368468311,0.492820042,0.630660529,0.443943389,0.280265736,0.520002662,0.7053594,0.5825227,0.617868996,0.55574728,0.188188887,0.222022654,0.279995806,0.357950627,0.519186767,0.316473582,0.393771716,0.217620737,0.198170075,0.162757065,0.229833514,0.282240259,0.335558723,0.175526113,0.275205584,0.276005045,0.158171944,0.054760888,2.22045E-16,0.045089723,0.331632181,0.146866419,0.521581613,0.164327522,0.017924555,2.22045E-16,0.334802984,0.334802984,0.467552534,42.9643183
"CTP1-T34: cryptographi, channel, base",0.293748638,0.314417447,0.257955926,0.201731109,0.250365699,0.33905393,0.133858261,0.305056079,0.289893713,0.279478435,0.304023727,0.349865853,0.310214067,0.353134851,0.324975374,0.037803649,0.359273516,0.192994703,0.317838213,0.168637636,0.365062347,0.130520138,0,0.157258097,0.440718513,0.219404288,0.188573762,0.275759674,0.412336143,0.208135556,0.317264327,0.100619347,0.157012938,0.133183403,0.291392815,0.128848489,0.027822782,0.088848071,0.128858338,0.440718513,CTP2-T23,0.561674755,0.508834338,0.532783689,0.206469676,0.494260967,0.397914973,0.793303756,0.596075835,0.406709864,0.668828993,0.744135314,0.602162253,0.596931116,0.733192431,0.185759087,0.362870453,0.445259928,0.381401292,0.574759158,0.213580072,0.403120067,0.218845619,0.162074761,0.291469917,0.435313217,0.255802263,0.264565087,0.007828055,0.397959422,0.227869546,0.232279485,0.076008256,0.045089723,2.22045E-16,0.06196223,0.026172146,0.081605749,0.009757479,0.020608549,2.22045E-16,0.348032619,0.348032619,0.440718513,465.7941401
"CTP1-T35: channel, applic",0.115873217,0.044825457,0.031624524,0,0.039498051,0.031377747,0.029160772,0.031121968,0.033073463,0.033407936,0.040887724,0.044039935,0.040173585,0.035583815,0.042393069,0.014912173,0.055926308,0.032365074,0.036879817,0,0.04357034,0,0,0,0.352509453,0.048479797,0,0.275082238,0.319315146,0.281402286,0.233101419,0.212716589,0.331936728,0.281559362,0.527779808,0.272395041,0.058819377,0,0.272415862,0.527779808,CTP2-T4,0.127333335,0.014355233,0.003733533,0.004063338,0.380653901,0.104661018,0.384706712,0.37996429,0.089629196,0.200495755,0.212482105,0.021241626,0.00672858,0.386165734,0.068895144,0.028551119,0.009328704,0.022454807,0.25214356,0.015737267,0.139750314,0.482659083,0.213560776,0.508072771,0.248913329,0.093820027,0.212543447,0.472593919,0.25558711,0.203102619,0.371262773,0.315190779,0.331632181,0.06196223,2.22045E-16,0.153475753,0.584915933,0.008038881,0.354467294,2.22045E-16,0.203286162,0.203286162,0.527779808,42.70021641
"CTP1-T36: channel, base, applic",0.492465874,0.35035668,0.275944493,0.160603047,0.287473837,0.339957832,0.171648728,0.312320469,0.304604681,0.297059299,0.333293769,0.376824894,0.336628236,0.360555083,0.353333508,0.063377339,0.410842528,0.22588004,0.294116477,0.134256528,0.346635237,0.10391026,0,0.125197,0.331689034,0.282870134,0.150128163,0.172639844,0.340946757,0.205130252,0.212840076,0.04383917,0.068409478,0.05802711,0.190632117,0.056138417,0.012122198,0.070734112,0.056142708,0.492465874,CTP2-T23,0.748317528,0.613924192,0.752952028,0.483556754,0.663263829,0.453566694,0.79510827,0.67681292,0.531444896,0.756192105,0.650568737,0.864018149,0.883574652,0.784472074,0.572341207,0.462099395,0.520488994,0.564246718,0.619451351,0.239169406,0.470187901,0.211007921,0.213783007,0.252302139,0.285121142,0.274178522,0.337408401,0.013162547,0.41439627,0.345900719,0.317583865,0.104847946,0.146866419,0.026172146,0.153475753,2.22045E-16,0.391354788,0.218189091,0.092343894,2.22045E-16,0.44483822,0.44483822,0.492465874,-4.999740412
"CTP1-T37: channel, base, classic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216108415,0,0,0.186919738,0.197991848,0.166491052,0.158393565,0.144541972,0.225552644,0.191320976,0.344873881,0.185093774,0.039968057,0,0.185107922,0.344873881,CTP2-T1,0.45738252,0.376999981,0.127338987,0.056313035,0.205550546,0.087836587,0.381915061,0.267163248,0.015756305,0.183030418,0.033664101,0.201773541,0.176701461,0.113767546,0.0381159,0.305472283,0.126767118,0.214746474,0.184720998,0.035355856,0.13220621,0.096821354,0.136854708,0.28171734,0.316701725,0.14561153,0.057289143,0.456245985,0.147896799,0.258370048,0.104742011,0.405626444,0.521581613,0.081605749,0.584915933,0.391354788,0,0.24487817,0.402450499,0,0.219927422,0.219927422,0.344873881,473.6216959
"CTP1-T38: base, channel, cryptographi",0.368306946,0.168386987,0.123460086,0.026030345,0.144931409,0.133220891,0.100421973,0.12810465,0.131712708,0.131322495,0.155817708,0.170721215,0.154580167,0.147031084,0.162813569,0.047398846,0.205828164,0.117189444,0.316636539,0.021760134,0.341846474,0.016841648,0,0.020291776,0.415416144,0.166547033,0.024332589,0.110894365,0.212643014,0.197683968,0.104756443,0.071220749,0.111137465,0.094270356,0.234273618,0.091202002,0.019693622,0.011464498,0.091208973,0.415416144,CTP2-T23,0.649486595,0.597621105,0.60027208,0.55367175,0.520322554,0.643532841,0.83892223,0.724526023,0.409132077,0.54705944,0.67306445,0.604726961,0.596943304,0.535707331,0.338183317,0.459854955,0.383001244,0.365220831,0.639034655,0.194205318,0.578134395,0.144069927,0.130505251,0.226711082,0.418071695,0.241448427,0.237788059,0.208459962,0.573921851,0.084221691,0.367883204,0.051901556,0.164327522,0.009757479,0.008038881,0.218189091,0.24487817,0,0.185434907,0,0.393900848,0.393900848,0.415416144,291.2685028
"CTP1-T39: channel, cryptographi, base",0.206882767,0.316305113,0.265674885,0.237390707,0.247312155,0.361404005,0.122591773,0.321702791,0.301522732,0.288865741,0.308790673,0.358960548,0.316930652,0.372936015,0.331642821,0.026624544,0.355793864,0.188343579,0.379358854,0.198447368,0.42692819,0.153591918,0,0.185056291,0.397588245,0.200119556,0.221907563,0.212023223,0.332614862,0.101158255,0.278030648,0.031425192,0.049037902,0.041595519,0.111121822,0.040241649,0.008689544,0.104553563,0.040244725,0.42692819,CTP2-T23,0.503491493,0.419071773,0.548812239,0.350869173,0.404429142,0.576241751,0.696791529,0.525134314,0.303095223,0.560281842,0.685601392,0.646365467,0.674864651,0.582094775,0.305313853,0.271479494,0.261654034,0.394257603,0.558710571,0.410644282,0.430844247,0.312426195,0.253638612,0.266201818,0.232743664,0.23788158,0.411394082,0.041678035,0.318243755,0.23563611,0.235032706,0.039879503,0.017924555,0.020608549,0.354467294,0.092343894,0.402450499,0.185434907,0,0,0.3623167,0.3623167,0.42692819,59.28570796
