Cluster3Words,1PW1,1PW2,1PW3,1PW4,1PW5,1PW6,1PW7,1PW8,1PW9,1W1,1W2,1W3,1W4,1W5,1W6,1W7,1W8,1W9,Aspect1Topic10Words,Magnitude
"T01: complex, applic, classic",0.050867218,0.018581059,0.007354165,0.004436811,0.004332442,0,0,0,0,complex,applic,classic,develop,challeng,,,,,"complex-0.051, applic-0.019, classic-0.007, develop-0.004, challeng-0.004",0.015877812
"T02: base, compar, classic",0.016783256,0.016221919,0.007042119,0.004182415,0,0,0,0,0,base,compar,classic,applic,,,,,,"base-0.017, compar-0.016, classic-0.007, applic-0.004",0.012489951
"T03: base, complex, classic",0.067230444,0.033542284,0.025312701,0.022605653,0.015728923,0.013319408,0.006662317,0,0,base,complex,classic,develop,applic,compar,challeng,,,"base-0.067, complex-0.034, classic-0.025, develop-0.023, applic-0.016, compar-0.013, challeng-0.007",0.068039068
"T04: base, cryptographi, complex",0.095472866,0.090518024,0.035390615,0.030974876,0.029716407,0.025699142,0.021301315,0.00867556,0,base,cryptographi,complex,develop,compar,applic,classic,challeng,,"base-0.095, cryptographi-0.091, complex-0.035, develop-0.031, compar-0.03, applic-0.026, classic-0.021, challeng-0.009",0.132534097
"T05: base, complex, compar",0.258463195,0.126733497,0.108120111,0.077952997,0.047646437,0.041766224,0.040298652,0.033919264,0,base,complex,compar,applic,challeng,develop,classic,channel,,"base-0.258, complex-0.127, compar-0.108, applic-0.078, challeng-0.048, develop-0.042, classic-0.04, channel-0.034",0.288113139
"T06: base, complex, cryptographi",0.157731048,0.071614212,0.069355035,0.033133515,0.027043511,0.026938154,0.006665954,0,0,base,complex,cryptographi,classic,applic,develop,compar,,,"base-0.158, complex-0.072, cryptographi-0.069, classic-0.033, applic-0.027, develop-0.027, compar-0.007",0.138399523
"T07: base, compar, cryptographi",0.15205094,0.078562922,0.0648799,0.060293084,0.05252233,0.045435279,0.030740356,0.02236064,0.01596823,base,compar,cryptographi,classic,applic,complex,channel,challeng,develop,"base-0.152, compar-0.079, cryptographi-0.065, classic-0.06, applic-0.053, complex-0.045, channel-0.031, challeng-0.022, develop-0.016",0.231771175
"T08: base, compar, complex",0.364768057,0.10028728,0.092057528,0.082621281,0.074082325,0.069715403,0.043599725,0.03986347,0.035367889,base,compar,complex,classic,cryptographi,applic,develop,channel,challeng,"base-0.365, compar-0.1, complex-0.092, classic-0.083, cryptographi-0.074, applic-0.07, develop-0.044, channel-0.04, challeng-0.035",0.356378893
"T09: base, complex, classic",0.330771152,0.18099837,0.144553715,0.105617736,0.073399118,0.04710856,0.025107781,0.016284245,0,base,complex,classic,compar,applic,challeng,develop,channel,,"base-0.331, complex-0.181, classic-0.145, compar-0.106, applic-0.073, challeng-0.047, develop-0.025, channel-0.016",0.330564286
"T10: base, challeng, complex",0.165797718,0.07259616,0.069601264,0.063320245,0.037388367,0.031415769,0.024741223,0.011608969,0,base,challeng,complex,compar,develop,applic,classic,channel,,"base-0.166, challeng-0.073, complex-0.07, compar-0.063, develop-0.037, applic-0.031, classic-0.025, channel-0.012",0.188801776
"T11: classic, base, develop",0.201588239,0.190359772,0.107882104,0.095577579,0.073420054,0.069926196,0.058189133,0.054917183,0.028164498,classic,base,develop,complex,applic,compar,challeng,cryptographi,channel,"classic-0.202, base-0.19, develop-0.108, complex-0.096, applic-0.073, compar-0.07, challeng-0.058, cryptographi-0.055, channel-0.028",0.409621665
"T12: base, compar, challeng",0.171633482,0.069793515,0.048826594,0.046510464,0.04534715,0.038606138,0.030708104,0,0,base,compar,challeng,applic,complex,classic,develop,,,"base-0.172, compar-0.07, challeng-0.049, applic-0.047, complex-0.045, classic-0.039, develop-0.031",0.181174563
"T13: base, classic, develop",0.325138005,0.200783123,0.129011749,0.104239776,0.092941207,0.062222251,0.018907138,0,0,base,classic,develop,applic,complex,compar,challeng,,,"base-0.325, classic-0.201, develop-0.129, applic-0.104, complex-0.093, compar-0.062, challeng-0.019",0.340558089
"T14: base, classic, applic",0.207427908,0.053965705,0.041797961,0.03452989,0.028874614,0.024998093,0.024070113,0.017215411,0,base,classic,applic,develop,compar,challeng,complex,channel,,"base-0.207, classic-0.054, applic-0.042, develop-0.035, compar-0.029, challeng-0.025, complex-0.024, channel-0.017",0.145272744
"T15: base, classic, applic",0.084404081,0.071559083,0.025959761,0.021327317,0.018401805,0.004671384,0,0,0,base,classic,applic,develop,complex,challeng,,,,"base-0.084, classic-0.072, applic-0.026, develop-0.021, complex-0.018, challeng-0.005",0.06825614
"T16: develop, complex, classic",0.013265647,0.008688685,0.005879606,0.002645139,0,0,0,0,0,develop,complex,classic,applic,,,,,,"develop-0.013, complex-0.009, classic-0.006, applic-0.003",0.00888488
"T17: base, classic, applic",0.046812496,0.043755356,0.030221471,0.021153665,0.017252434,0,0,0,0,base,classic,applic,develop,challeng,,,,,"base-0.047, classic-0.044, applic-0.03, develop-0.021, challeng-0.017",0.062495282
"T18: base, develop, applic",0.040287038,0.036730731,0.010778106,0,0,0,0,0,0,base,develop,applic,,,,,,,"base-0.04, develop-0.037, applic-0.011",0.022233564
"T19: cryptographi, base, develop",9.060401644,1.782628954,0.737224485,0.648752396,0.59954742,0.410886826,0.331652872,0.287840903,0.274494701,cryptographi,base,develop,challeng,applic,classic,channel,compar,complex,"cryptographi-9.06, base-1.783, develop-0.737, challeng-0.649, applic-0.6, classic-0.411, channel-0.332, compar-0.288, complex-0.274",2.942387048
"T20: cryptographi, base, classic",0.053586291,0.022368942,0.007205018,0.004419628,0.00286278,0,0,0,0,cryptographi,base,classic,develop,applic,,,,,"cryptographi-0.054, base-0.022, classic-0.007, develop-0.004, applic-0.003",0.015938095
"T21: cryptographi, base, develop",8.093286555,1.072709288,0.5710267,0.50191546,0.425467971,0.319202354,0.157240538,0.13700374,0.098683587,cryptographi,base,develop,applic,challeng,classic,channel,compar,complex,"cryptographi-8.093, base-1.073, develop-0.571, applic-0.502, challeng-0.425, classic-0.319, channel-0.157, compar-0.137, complex-0.099",1.980582985
"T22: cryptographi, classic, base",0.48475569,0.109071813,0.091060973,0.070884019,0.028347952,0.023851268,0.017454857,0.014445944,0,cryptographi,classic,base,channel,complex,develop,applic,compar,,"cryptographi-0.485, classic-0.109, base-0.091, channel-0.071, complex-0.028, develop-0.024, applic-0.017, compar-0.014",0.206747742
"T23: cryptographi, channel, classic",0.141442471,0.109807105,0.109034998,0.108132888,0.034556464,0.029299804,0.020178006,0.006801053,0,cryptographi,channel,classic,base,compar,applic,develop,challeng,,"cryptographi-0.141, channel-0.11, classic-0.109, base-0.108, compar-0.035, applic-0.029, develop-0.02, challeng-0.007",0.252631135
"T24: cryptographi, base, channel",0.551223615,0.192009255,0.103683378,0.098172626,0.037740193,0.029018934,0.017656832,0.012801053,0.008256059,cryptographi,base,channel,classic,complex,applic,challeng,compar,develop,"cryptographi-0.551, base-0.192, channel-0.104, classic-0.098, complex-0.038, applic-0.029, challeng-0.018, compar-0.013, develop-0.008",0.263959162
"T25: cryptographi, channel, base",0.193963267,0.081752735,0.035560546,0.032246411,0.016492482,0.014447333,0.00770477,0.001851874,0,cryptographi,channel,base,classic,applic,challeng,compar,develop,,"cryptographi-0.194, channel-0.082, base-0.036, classic-0.032, applic-0.016, challeng-0.014, compar-0.008, develop-0.002",0.096278422
"T26: applic, base, challeng",0.029552219,0.02426436,0.01473144,0.009588244,0,0,0,0,0,applic,base,challeng,develop,,,,,,"applic-0.03, base-0.024, challeng-0.015, develop-0.01",0.026407018
"T27: cryptographi, base, classic",0.315472281,0.173586774,0.044107174,0.032965392,0.030635887,0.01772741,0.013850591,0.01068635,0,cryptographi,base,classic,applic,compar,develop,complex,channel,,"cryptographi-0.315, base-0.174, classic-0.044, applic-0.033, compar-0.031, develop-0.018, complex-0.014, channel-0.011",0.151779934
"T28: cryptographi, base, channel",0.629973437,0.279393269,0.273409712,0.221457945,0.063498932,0.05011515,0.012542486,0,0,cryptographi,base,channel,classic,develop,applic,compar,,,"cryptographi-0.63, base-0.279, channel-0.273, classic-0.221, develop-0.063, applic-0.05, compar-0.013",0.548802847
"T29: base, channel, develop",0.609294763,0.495992219,0.275166121,0.139025644,0.13211016,0.130701961,0.062523932,0.037814668,0.024052931,base,channel,develop,cryptographi,challeng,applic,classic,compar,complex,"base-0.609, channel-0.496, develop-0.275, cryptographi-0.139, challeng-0.132, applic-0.131, classic-0.063, compar-0.038, complex-0.024",0.677968089
"T30: develop, channel, applic",0.036344387,0.017719014,0.010428567,0.008140541,0,0,0,0,0,develop,channel,applic,base,,,,,,"develop-0.036, channel-0.018, applic-0.01, base-0.008",0.019750251
"T31: base, channel, develop",0.455314832,0.328126467,0.197058745,0.08858012,0.05201468,0.03826198,0.022539708,0.01138126,0,base,channel,develop,challeng,applic,cryptographi,classic,complex,,"base-0.455, channel-0.328, develop-0.197, challeng-0.089, applic-0.052, cryptographi-0.038, classic-0.023, complex-0.011",0.379096621
"T32: channel, cryptographi, base",0.929255041,0.857415105,0.493969076,0.153498529,0.138986995,0.116234156,0.11365237,0.049514578,0.019709592,channel,cryptographi,base,classic,applic,compar,develop,challeng,complex,"channel-0.929, cryptographi-0.857, base-0.494, classic-0.153, applic-0.139, compar-0.116, develop-0.114, challeng-0.05, complex-0.02",0.999857871
"T33: channel, cryptographi, base",0.759966622,0.575290144,0.525101085,0.103999441,0.102817433,0.097444945,0.095139935,0.071844526,0.049383347,channel,cryptographi,base,challeng,complex,develop,compar,applic,classic,"channel-0.76, cryptographi-0.575, base-0.525, challeng-0.104, complex-0.103, develop-0.097, compar-0.095, applic-0.072, classic-0.049",0.935288933
"T34: cryptographi, channel, base",0.783115536,0.447240009,0.228269921,0.083362695,0.068145819,0.065117444,0.052664807,0.044919669,0.034934929,cryptographi,channel,base,develop,challeng,classic,applic,compar,complex,"cryptographi-0.783, channel-0.447, base-0.228, develop-0.083, challeng-0.068, classic-0.065, applic-0.053, compar-0.045, complex-0.035",0.524758593
"T35: channel, applic",0.232967395,0.012044846,0,0,0,0,0,0,0,channel,applic,,,,,,,,"channel-0.233, applic-0.012",0.024421814
"T36: channel, base, applic",0.26400822,0.118915906,0.04976669,0.035505317,0.032287936,0.019234519,0.010517499,0.006047941,0,channel,base,applic,complex,develop,classic,compar,challeng,,"channel-0.264, base-0.119, applic-0.05, complex-0.036, develop-0.032, classic-0.019, compar-0.011, challeng-0.006",0.135241981
"T37: channel, base, classic",0.079420363,0.006991789,0.00596694,0,0,0,0,0,0,channel,base,classic,,,,,,,"channel-0.079, base-0.007, classic-0.006",0.010822126
"T38: base, channel, cryptographi",0.108835328,0.090407385,0.058155008,0.039586824,0.031535634,0.017923379,0.015991162,0.009828698,0,base,channel,cryptographi,classic,applic,develop,compar,challeng,,"base-0.109, channel-0.09, cryptographi-0.058, classic-0.04, applic-0.032, develop-0.018, compar-0.016, challeng-0.01",0.140470188
"T39: channel, cryptographi, base",0.855708309,0.398016142,0.324480164,0.086388257,0.086270393,0.081231076,0.078654581,0.050091422,0.008376904,channel,cryptographi,base,applic,compar,complex,develop,classic,challeng,"channel-0.856, cryptographi-0.398, base-0.324, applic-0.086, compar-0.086, complex-0.081, develop-0.079, classic-0.05, challeng-0.008",0.633881659
